,date,branch,order
0,2023-06-26 21:36:39,Branch 3,"1S_Burger, 4S_Fries, 5S_Drink"
1,2023-12-22 10:57:56,Branch 9,"2S_Burger, 4S_Fries, 3S_Drink"
2,2023-12-14 14:07:51,Branch 8,"2S_Burger, 4S_Fries, 2S_Drink"
3,2023-11-01 02:10:22,Branch 4,"6S_Fries, 1S_Drink"
4,2023-09-30 07:42:12,Branch 3,"5S_Burger, 6S_Drink"
5,2023-11-29 00:02:32,Branch 8,"7S_Burger, 1S_Drink"
6,2023-04-06 18:44:44,Branch 5,"4S_Burger, 3S_Fries"
7,2023-03-23 07:54:38,Branch 8,"2S_Burger, 1S_Fries, 7S_Drink"
8,2023-02-05 00:51:45,Branch 5,"3S_Burger, 3S_Fries"
9,2023-02-04 15:11:25,Branch 7,"3S_Burger, 3S_Fries, 2S_Drink"
10,2023-07-06 18:05:43,Branch 1,"3S_Burger, 2S_Fries, 4S_Drink"
11,2023-12-31 14:04:58,Branch 6,"3S_Burger, 1S_Fries, 7S_Drink"
12,2023-10-12 20:28:43,Branch 5,"4S_Burger, 3S_Fries"
13,2023-02-05 01:05:30,Branch 8,"3S_Burger, 6S_Fries, 5S_Drink"
14,2023-08-20 17:53:36,Branch 4,"7S_Fries, 1S_Drink"
15,2023-01-17 02:05:19,Branch 3,"6S_Burger, 6S_Fries, 1S_Drink"
16,2023-02-24 10:15:14,Branch 10,"5S_Burger, 2S_Fries, 3S_Drink"
17,2023-01-10 10:39:12,Branch 9,"6S_Burger, 7S_Fries"
18,2023-03-31 23:38:57,Branch 6,"1S_Burger, 3S_Fries"
19,2023-10-27 01:37:08,Branch 5,"2S_Burger, 2S_Fries"
20,2023-04-22 13:19:50,Branch 9,"3S_Burger, 1S_Fries, 1S_Drink"
21,2023-11-13 07:38:44,Branch 2,"3S_Burger, 4S_Fries, 1S_Drink"
22,2023-12-19 23:56:32,Branch 6,"6S_Burger, 6S_Fries"
23,2023-12-10 13:43:46,Branch 3,"4S_Burger, 3S_Fries, 1S_Drink"
24,2023-04-04 17:57:57,Branch 1,"2S_Burger, 3S_Fries, 2S_Drink"
25,2023-09-13 08:34:47,Branch 3,4S_Burger
26,2023-04-10 15:29:22,Branch 10,"4S_Burger, 2S_Fries, 2S_Drink"
27,2023-05-06 05:13:59,Branch 2,"2S_Burger, 5S_Fries, 1S_Drink"
28,2023-01-02 14:29:55,Branch 4,"7S_Fries, 2S_Drink"
29,2023-07-16 19:18:31,Branch 4,"1S_Burger, 7S_Fries, 6S_Drink"
30,2023-05-21 17:41:51,Branch 10,7S_Fries
31,2023-01-09 10:01:03,Branch 10,"2S_Burger, 5S_Fries, 6S_Drink"
32,2023-10-04 07:46:05,Branch 8,"5S_Burger, 4S_Fries, 2S_Drink"
33,2023-06-04 00:00:06,Branch 6,"1S_Burger, 3S_Fries, 2S_Drink"
34,2023-08-31 11:13:21,Branch 3,"6S_Burger, 6S_Fries, 1S_Drink"
35,2023-03-17 22:47:24,Branch 9,4S_Drink
36,2023-10-06 03:40:14,Branch 8,"5S_Burger, 2S_Fries, 1S_Drink"
37,2023-01-07 21:01:35,Branch 9,"3S_Burger, 3S_Fries, 6S_Drink"
38,2023-10-22 16:46:29,Branch 10,"1S_Burger, 7S_Fries, 7S_Drink"
39,2023-07-06 15:02:56,Branch 10,"3S_Burger, 5S_Fries, 5S_Drink"
40,2023-05-15 01:23:03,Branch 10,"7S_Burger, 7S_Fries, 5S_Drink"
41,2023-10-01 19:19:18,Branch 2,"3S_Burger, 5S_Drink"
42,2023-03-13 23:55:51,Branch 10,"5S_Burger, 4S_Fries, 7S_Drink"
43,2023-08-04 23:44:01,Branch 6,"2S_Burger, 5S_Fries, 3S_Drink"
44,2023-02-22 11:18:14,Branch 2,"2S_Burger, 1S_Fries, 2S_Drink"
45,2023-04-25 10:02:08,Branch 4,"3S_Fries, 1S_Drink"
46,2023-05-09 19:13:24,Branch 1,"2S_Burger, 6S_Fries, 4S_Drink"
47,2023-03-11 00:45:51,Branch 6,"5S_Burger, 6S_Fries, 7S_Drink"
48,2023-03-02 03:00:15,Branch 3,"5S_Burger, 3S_Fries, 4S_Drink"
49,2023-05-02 22:42:29,Branch 10,"5S_Burger, 5S_Fries, 7S_Drink"
50,2023-01-26 15:02:44,Branch 6,"1S_Burger, 6S_Fries, 4S_Drink"
51,2023-01-23 10:30:13,Branch 5,"5S_Burger, 1S_Fries, 7S_Drink"
52,2023-07-04 11:56:01,Branch 4,2S_Fries
53,2023-10-19 12:25:43,Branch 10,"6S_Burger, 5S_Fries, 5S_Drink"
54,2023-10-20 20:03:45,Branch 1,"5S_Fries, 2S_Drink"
55,2023-07-23 01:45:28,Branch 3,"4S_Burger, 5S_Fries, 3S_Drink"
56,2023-10-23 11:39:27,Branch 7,"2S_Burger, 2S_Fries, 3S_Drink"
